"qes_year","qes_code","qes_name_en","age_group","turnout","vote_choice","sovereignty_support"
1998,"qes1998","Quebec Elections 1998","45-54",1,"PLQ",
1998,"qes1998","Quebec Elections 1998","25-34",0,"Don't know / Refused",1
1998,"qes1998","Quebec Elections 1998","55-64",1,"ADQ",0
1998,"qes1998","Quebec Elections 1998","25-34",0,"ADQ",
1998,"qes1998","Quebec Elections 1998","35-44",1,"Don't know / Refused",
1998,"qes1998","Quebec Elections 1998","35-44",1,"Don't know / Refused",
1998,"qes1998","Quebec Elections 1998","45-54",1,"PQ",
1998,"qes1998","Quebec Elections 1998","35-44",1,"ADQ",
1998,"qes1998","Quebec Elections 1998","35-44",1,"Don't know / Refused",
1998,"qes1998","Quebec Elections 1998","35-44",1,"PLQ",
1998,"qes1998","Quebec Elections 1998","55-64",0,"Did not vote / None",
1998,"qes1998","Quebec Elections 1998","65+",1,"Don't know / Refused",
1998,"qes1998","Quebec Elections 1998","45-54",1,"PLQ",
1998,"qes1998","Quebec Elections 1998","35-44",1,"Don't know / Refused",
1998,"qes1998","Quebec Elections 1998","45-54",1,"PQ",
1998,"qes1998","Quebec Elections 1998","35-44",1,"PQ",
1998,"qes1998","Quebec Elections 1998","35-44",1,"PQ",
1998,"qes1998","Quebec Elections 1998","55-64",1,"PLQ",
1998,"qes1998","Quebec Elections 1998","18-24",0,"PLQ",0
1998,"qes1998","Quebec Elections 1998","35-44",1,"PQ",
1998,"qes1998","Quebec Elections 1998","55-64",1,"Don't know / Refused",
1998,"qes1998","Quebec Elections 1998","35-44",1,"ADQ",0
1998,"qes1998","Quebec Elections 1998","45-54",1,"Don't know / Refused",
1998,"qes1998","Quebec Elections 1998","65+",1,"PQ",1
1998,"qes1998","Quebec Elections 1998","18-24",1,"ADQ",
1998,"qes1998","Quebec Elections 1998","45-54",1,"PQ",
1998,"qes1998","Quebec Elections 1998","45-54",1,"PQ",1
1998,"qes1998","Quebec Elections 1998","25-34",1,"ADQ",1
1998,"qes1998","Quebec Elections 1998","25-34",1,"ADQ",
1998,"qes1998","Quebec Elections 1998","45-54",1,"Don't know / Refused",
1998,"qes1998","Quebec Elections 1998","35-44",1,"PQ",
1998,"qes1998","Quebec Elections 1998","65+",1,"Don't know / Refused",0
1998,"qes1998","Quebec Elections 1998","18-24",1,"Don't know / Refused",0
1998,"qes1998","Quebec Elections 1998","35-44",0,"Don't know / Refused",
1998,"qes1998","Quebec Elections 1998","35-44",1,"PQ",
1998,"qes1998","Quebec Elections 1998","35-44",1,"Don't know / Refused",
1998,"qes1998","Quebec Elections 1998","35-44",1,"ADQ",1
1998,"qes1998","Quebec Elections 1998","25-34",1,"ADQ",
1998,"qes1998","Quebec Elections 1998","65+",0,"Did not vote / None",
1998,"qes1998","Quebec Elections 1998","25-34",1,"ADQ",1
1998,"qes1998","Quebec Elections 1998","45-54",1,"Don't know / Refused",
1998,"qes1998","Quebec Elections 1998","25-34",0,"Did not vote / None",
1998,"qes1998","Quebec Elections 1998","65+",1,"PLQ",
1998,"qes1998","Quebec Elections 1998","35-44",1,"ADQ",
1998,"qes1998","Quebec Elections 1998","35-44",1,"ADQ",
1998,"qes1998","Quebec Elections 1998","55-64",0,"PLQ",
1998,"qes1998","Quebec Elections 1998","55-64",1,"PLQ",
1998,"qes1998","Quebec Elections 1998","55-64",1,"PLQ",
1998,"qes1998","Quebec Elections 1998","45-54",1,"PLQ",
1998,"qes1998","Quebec Elections 1998","65+",1,"Don't know / Refused",0
1998,"qes1998","Quebec Elections 1998","45-54",1,"Don't know / Refused",
1998,"qes1998","Quebec Elections 1998","55-64",1,"PQ",
1998,"qes1998","Quebec Elections 1998","45-54",1,"PLQ",0
1998,"qes1998","Quebec Elections 1998","35-44",1,"ADQ",0
1998,"qes1998","Quebec Elections 1998","35-44",1,"Don't know / Refused",
1998,"qes1998","Quebec Elections 1998","45-54",1,"PQ",
1998,"qes1998","Quebec Elections 1998","45-54",1,"PQ",
1998,"qes1998","Quebec Elections 1998","45-54",1,"PQ",1
1998,"qes1998","Quebec Elections 1998","35-44",0,"ADQ",0
1998,"qes1998","Quebec Elections 1998","25-34",1,"ADQ",
1998,"qes1998","Quebec Elections 1998","55-64",1,"PLQ",0
1998,"qes1998","Quebec Elections 1998","35-44",1,"ADQ",0
1998,"qes1998","Quebec Elections 1998","25-34",1,"ADQ",
1998,"qes1998","Quebec Elections 1998","65+",0,"Don't know / Refused",
1998,"qes1998","Quebec Elections 1998","45-54",1,"PQ",
1998,"qes1998","Quebec Elections 1998","35-44",0,"Don't know / Refused",0
1998,"qes1998","Quebec Elections 1998","35-44",1,"PLQ",
1998,"qes1998","Quebec Elections 1998","35-44",1,"PLQ",
1998,"qes1998","Quebec Elections 1998","18-24",1,"PQ",0
1998,"qes1998","Quebec Elections 1998","25-34",1,"Did not vote / None",1
1998,"qes1998","Quebec Elections 1998","18-24",1,"Did not vote / None",
1998,"qes1998","Quebec Elections 1998","25-34",1,"PQ",
1998,"qes1998","Quebec Elections 1998","35-44",1,"ADQ",
1998,"qes1998","Quebec Elections 1998","35-44",1,"PLQ",
1998,"qes1998","Quebec Elections 1998","25-34",1,"Don't know / Refused",
1998,"qes1998","Quebec Elections 1998","25-34",1,"PQ",
1998,"qes1998","Quebec Elections 1998","25-34",1,"PQ",
1998,"qes1998","Quebec Elections 1998","55-64",0,"Did not vote / None",
1998,"qes1998","Quebec Elections 1998","35-44",1,"ADQ",
1998,"qes1998","Quebec Elections 1998","25-34",1,"ADQ",1
1998,"qes1998","Quebec Elections 1998","35-44",1,"PQ",1
1998,"qes1998","Quebec Elections 1998","45-54",1,"PQ",1
1998,"qes1998","Quebec Elections 1998","65+",1,"PQ",
1998,"qes1998","Quebec Elections 1998","25-34",1,"Did not vote / None",
1998,"qes1998","Quebec Elections 1998","35-44",1,"Don't know / Refused",0
1998,"qes1998","Quebec Elections 1998","35-44",1,"PLQ",
1998,"qes1998","Quebec Elections 1998","25-34",1,"Don't know / Refused",
1998,"qes1998","Quebec Elections 1998","65+",1,"PLQ",
1998,"qes1998","Quebec Elections 1998","25-34",1,"PQ",
1998,"qes1998","Quebec Elections 1998","55-64",1,"PQ",
1998,"qes1998","Quebec Elections 1998","18-24",1,"PQ",1
1998,"qes1998","Quebec Elections 1998","65+",1,"PLQ",0
1998,"qes1998","Quebec Elections 1998","25-34",1,"PLQ",
1998,"qes1998","Quebec Elections 1998","65+",1,"PQ",1
1998,"qes1998","Quebec Elections 1998","55-64",1,"PLQ",
1998,"qes1998","Quebec Elections 1998","45-54",1,"PLQ",
1998,"qes1998","Quebec Elections 1998","25-34",1,"PLQ",
1998,"qes1998","Quebec Elections 1998","65+",1,"Don't know / Refused",
1998,"qes1998","Quebec Elections 1998","35-44",1,"PQ",
1998,"qes1998","Quebec Elections 1998","35-44",1,"ADQ",
1998,"qes1998","Quebec Elections 1998","65+",1,"ADQ",0
1998,"qes1998","Quebec Elections 1998","45-54",1,"PQ",
1998,"qes1998","Quebec Elections 1998","45-54",1,"PQ",
1998,"qes1998","Quebec Elections 1998","35-44",1,"Don't know / Refused",
1998,"qes1998","Quebec Elections 1998","25-34",1,"ADQ",
1998,"qes1998","Quebec Elections 1998","35-44",1,"ADQ",
1998,"qes1998","Quebec Elections 1998","25-34",1,"PQ",
1998,"qes1998","Quebec Elections 1998","65+",1,"PLQ",
1998,"qes1998","Quebec Elections 1998","55-64",0,"Did not vote / None",
1998,"qes1998","Quebec Elections 1998","65+",1,"ADQ",1
1998,"qes1998","Quebec Elections 1998","45-54",1,"PQ",
1998,"qes1998","Quebec Elections 1998","45-54",1,"Don't know / Refused",
1998,"qes1998","Quebec Elections 1998","18-24",1,"Did not vote / None",
1998,"qes1998","Quebec Elections 1998","35-44",0,"Don't know / Refused",1
1998,"qes1998","Quebec Elections 1998","45-54",1,"PLQ",
1998,"qes1998","Quebec Elections 1998","55-64",1,"ADQ",0
1998,"qes1998","Quebec Elections 1998","35-44",1,"PLQ",
1998,"qes1998","Quebec Elections 1998","35-44",0,"PQ",
1998,"qes1998","Quebec Elections 1998","65+",0,"Did not vote / None",
1998,"qes1998","Quebec Elections 1998","35-44",1,"PQ",
1998,"qes1998","Quebec Elections 1998","35-44",1,"Other party",
1998,"qes1998","Quebec Elections 1998","65+",1,"Don't know / Refused",
1998,"qes1998","Quebec Elections 1998","18-24",1,"ADQ",
1998,"qes1998","Quebec Elections 1998","55-64",1,"Don't know / Refused",
1998,"qes1998","Quebec Elections 1998","25-34",0,"Did not vote / None",
1998,"qes1998","Quebec Elections 1998","65+",1,"Don't know / Refused",
1998,"qes1998","Quebec Elections 1998","25-34",1,"PQ",1
1998,"qes1998","Quebec Elections 1998","55-64",1,"Don't know / Refused",
1998,"qes1998","Quebec Elections 1998","35-44",1,"Don't know / Refused",
1998,"qes1998","Quebec Elections 1998","35-44",0,"PLQ",
1998,"qes1998","Quebec Elections 1998","18-24",1,"ADQ",1
1998,"qes1998","Quebec Elections 1998","45-54",1,"PLQ",
1998,"qes1998","Quebec Elections 1998","65+",1,"PLQ",0
1998,"qes1998","Quebec Elections 1998","35-44",1,"PQ",
1998,"qes1998","Quebec Elections 1998","35-44",1,"Don't know / Refused",
1998,"qes1998","Quebec Elections 1998","35-44",1,"PQ",
1998,"qes1998","Quebec Elections 1998","25-34",1,"Don't know / Refused",
1998,"qes1998","Quebec Elections 1998","35-44",1,"PLQ",
1998,"qes1998","Quebec Elections 1998","45-54",1,"ADQ",
1998,"qes1998","Quebec Elections 1998","25-34",1,"ADQ",
1998,"qes1998","Quebec Elections 1998","35-44",1,"PQ",
1998,"qes1998","Quebec Elections 1998","18-24",1,"ADQ",
1998,"qes1998","Quebec Elections 1998","55-64",1,"Don't know / Refused",
1998,"qes1998","Quebec Elections 1998","65+",1,"Don't know / Refused",
1998,"qes1998","Quebec Elections 1998","18-24",1,"PQ",
1998,"qes1998","Quebec Elections 1998","35-44",1,"PQ",
1998,"qes1998","Quebec Elections 1998","25-34",1,"PQ",
1998,"qes1998","Quebec Elections 1998","25-34",1,"ADQ",
1998,"qes1998","Quebec Elections 1998","35-44",1,"PQ",
1998,"qes1998","Quebec Elections 1998","35-44",0,"Did not vote / None",
1998,"qes1998","Quebec Elections 1998","35-44",1,"ADQ",0
1998,"qes1998","Quebec Elections 1998","55-64",1,"PLQ",
1998,"qes1998","Quebec Elections 1998","45-54",1,"PQ",0
1998,"qes1998","Quebec Elections 1998","65+",1,"Don't know / Refused",
1998,"qes1998","Quebec Elections 1998","25-34",1,"ADQ",
1998,"qes1998","Quebec Elections 1998","18-24",1,"PQ",
1998,"qes1998","Quebec Elections 1998","65+",1,"ADQ",0
1998,"qes1998","Quebec Elections 1998","35-44",0,"ADQ",1
1998,"qes1998","Quebec Elections 1998","25-34",0,"Did not vote / None",
1998,"qes1998","Quebec Elections 1998","35-44",1,"PQ",
1998,"qes1998","Quebec Elections 1998","65+",0,"PQ",
1998,"qes1998","Quebec Elections 1998","35-44",1,"PQ",
1998,"qes1998","Quebec Elections 1998","35-44",1,"Other party",
1998,"qes1998","Quebec Elections 1998","18-24",1,"ADQ",
1998,"qes1998","Quebec Elections 1998","65+",1,"ADQ",
1998,"qes1998","Quebec Elections 1998","35-44",0,"Did not vote / None",
1998,"qes1998","Quebec Elections 1998","55-64",1,"PLQ",
1998,"qes1998","Quebec Elections 1998","35-44",1,"PQ",
1998,"qes1998","Quebec Elections 1998","25-34",1,"PQ",
1998,"qes1998","Quebec Elections 1998","18-24",1,"ADQ",
1998,"qes1998","Quebec Elections 1998","45-54",1,"Don't know / Refused",0
1998,"qes1998","Quebec Elections 1998","55-64",1,"PLQ",
1998,"qes1998","Quebec Elections 1998","35-44",0,"ADQ",0
1998,"qes1998","Quebec Elections 1998","65+",0,"PQ",0
1998,"qes1998","Quebec Elections 1998","55-64",1,"PLQ",
1998,"qes1998","Quebec Elections 1998","35-44",0,"Did not vote / None",
1998,"qes1998","Quebec Elections 1998","35-44",0,"ADQ",
1998,"qes1998","Quebec Elections 1998","45-54",1,"PQ",
1998,"qes1998","Quebec Elections 1998","35-44",1,"PQ",
1998,"qes1998","Quebec Elections 1998","25-34",0,"PLQ",
1998,"qes1998","Quebec Elections 1998","55-64",1,"PQ",0
1998,"qes1998","Quebec Elections 1998","35-44",1,"Don't know / Refused",
1998,"qes1998","Quebec Elections 1998","35-44",1,"PQ",
1998,"qes1998","Quebec Elections 1998","18-24",1,"ADQ",
1998,"qes1998","Quebec Elections 1998","65+",1,"PLQ",
1998,"qes1998","Quebec Elections 1998","18-24",1,"ADQ",
1998,"qes1998","Quebec Elections 1998","35-44",1,"PQ",1
1998,"qes1998","Quebec Elections 1998","45-54",1,"Don't know / Refused",
1998,"qes1998","Quebec Elections 1998","35-44",1,"ADQ",
1998,"qes1998","Quebec Elections 1998","45-54",1,"ADQ",
1998,"qes1998","Quebec Elections 1998","65+",1,"PLQ",
1998,"qes1998","Quebec Elections 1998","55-64",1,"Don't know / Refused",
1998,"qes1998","Quebec Elections 1998","45-54",1,"ADQ",0
1998,"qes1998","Quebec Elections 1998","25-34",1,"PQ",1
1998,"qes1998","Quebec Elections 1998","18-24",0,"PLQ",0
1998,"qes1998","Quebec Elections 1998","55-64",1,"Don't know / Refused",
1998,"qes1998","Quebec Elections 1998","55-64",1,"Don't know / Refused",
1998,"qes1998","Quebec Elections 1998","18-24",1,"ADQ",
1998,"qes1998","Quebec Elections 1998","35-44",1,"PLQ",
1998,"qes1998","Quebec Elections 1998","65+",1,"ADQ",
1998,"qes1998","Quebec Elections 1998","55-64",1,"PLQ",
1998,"qes1998","Quebec Elections 1998","25-34",1,"PQ",
1998,"qes1998","Quebec Elections 1998","18-24",1,"PQ",
1998,"qes1998","Quebec Elections 1998","18-24",0,"Did not vote / None",
1998,"qes1998","Quebec Elections 1998","35-44",1,"Don't know / Refused",
1998,"qes1998","Quebec Elections 1998","65+",1,"PLQ",
1998,"qes1998","Quebec Elections 1998","65+",1,"PQ",
1998,"qes1998","Quebec Elections 1998","35-44",1,"Don't know / Refused",
1998,"qes1998","Quebec Elections 1998","35-44",0,"Don't know / Refused",0
1998,"qes1998","Quebec Elections 1998","65+",1,"Don't know / Refused",
1998,"qes1998","Quebec Elections 1998","65+",1,"PLQ",
1998,"qes1998","Quebec Elections 1998","35-44",1,"ADQ",
1998,"qes1998","Quebec Elections 1998","35-44",1,"PQ",0
1998,"qes1998","Quebec Elections 1998","35-44",1,"ADQ",
1998,"qes1998","Quebec Elections 1998","25-34",0,"ADQ",
1998,"qes1998","Quebec Elections 1998","45-54",1,"Don't know / Refused",
1998,"qes1998","Quebec Elections 1998","65+",1,"PLQ",0
1998,"qes1998","Quebec Elections 1998","55-64",1,"PQ",
1998,"qes1998","Quebec Elections 1998","45-54",1,"PQ",0
1998,"qes1998","Quebec Elections 1998","35-44",1,"ADQ",
1998,"qes1998","Quebec Elections 1998","35-44",1,"PQ",1
1998,"qes1998","Quebec Elections 1998","55-64",1,"Don't know / Refused",
1998,"qes1998","Quebec Elections 1998","45-54",1,"PLQ",
1998,"qes1998","Quebec Elections 1998","25-34",1,"Other party",
1998,"qes1998","Quebec Elections 1998","45-54",1,"PLQ",
1998,"qes1998","Quebec Elections 1998","65+",1,"PLQ",
1998,"qes1998","Quebec Elections 1998","25-34",1,"ADQ",
1998,"qes1998","Quebec Elections 1998","65+",1,"PLQ",0
1998,"qes1998","Quebec Elections 1998","35-44",0,"PQ",
1998,"qes1998","Quebec Elections 1998","55-64",1,"PQ",
1998,"qes1998","Quebec Elections 1998","25-34",0,"Did not vote / None",
1998,"qes1998","Quebec Elections 1998","55-64",1,"Don't know / Refused",0
1998,"qes1998","Quebec Elections 1998","55-64",0,"PLQ",
1998,"qes1998","Quebec Elections 1998","25-34",1,"PQ",
1998,"qes1998","Quebec Elections 1998","45-54",1,"PQ",1
1998,"qes1998","Quebec Elections 1998","45-54",1,"PLQ",
1998,"qes1998","Quebec Elections 1998","35-44",1,"Don't know / Refused",
1998,"qes1998","Quebec Elections 1998","65+",1,"Don't know / Refused",
1998,"qes1998","Quebec Elections 1998","65+",1,"Don't know / Refused",
1998,"qes1998","Quebec Elections 1998","65+",0,"Don't know / Refused",
1998,"qes1998","Quebec Elections 1998","45-54",1,"ADQ",
1998,"qes1998","Quebec Elections 1998","35-44",1,"ADQ",
1998,"qes1998","Quebec Elections 1998","35-44",1,"PQ",
1998,"qes1998","Quebec Elections 1998","18-24",1,"PLQ",
1998,"qes1998","Quebec Elections 1998","55-64",1,"PLQ",
1998,"qes1998","Quebec Elections 1998","55-64",1,"PQ",
1998,"qes1998","Quebec Elections 1998","55-64",1,"PQ",0
1998,"qes1998","Quebec Elections 1998","35-44",1,"Don't know / Refused",
1998,"qes1998","Quebec Elections 1998","35-44",1,"Other party",
1998,"qes1998","Quebec Elections 1998","35-44",1,"PLQ",
1998,"qes1998","Quebec Elections 1998","25-34",1,"Don't know / Refused",
1998,"qes1998","Quebec Elections 1998","25-34",1,"Don't know / Refused",0
1998,"qes1998","Quebec Elections 1998","35-44",1,"PQ",
1998,"qes1998","Quebec Elections 1998","55-64",1,"Don't know / Refused",0
1998,"qes1998","Quebec Elections 1998","45-54",1,"Don't know / Refused",
1998,"qes1998","Quebec Elections 1998","65+",1,"ADQ",0
1998,"qes1998","Quebec Elections 1998","25-34",1,"ADQ",
1998,"qes1998","Quebec Elections 1998","65+",1,"Don't know / Refused",
1998,"qes1998","Quebec Elections 1998","35-44",1,"Other party",1
1998,"qes1998","Quebec Elections 1998","55-64",1,"Don't know / Refused",0
1998,"qes1998","Quebec Elections 1998","35-44",1,"PQ",
1998,"qes1998","Quebec Elections 1998","65+",1,"Don't know / Refused",
1998,"qes1998","Quebec Elections 1998","25-34",1,"PQ",
1998,"qes1998","Quebec Elections 1998","35-44",0,"Did not vote / None",
1998,"qes1998","Quebec Elections 1998","25-34",1,"ADQ",
1998,"qes1998","Quebec Elections 1998","35-44",1,"Don't know / Refused",
1998,"qes1998","Quebec Elections 1998","25-34",1,"ADQ",
2007,"qes_crop_2007_2010","CROP Quebec Opinion Polls (2007-2010)","45-54",,"QS",1
2007,"qes_crop_2007_2010","CROP Quebec Opinion Polls (2007-2010)","25-34",,"QS",0
2007,"qes_crop_2007_2010","CROP Quebec Opinion Polls (2007-2010)","45-54",,"PQ",1
2007,"qes_crop_2007_2010","CROP Quebec Opinion Polls (2007-2010)","65+",,"ADQ",0
2007,"qes_crop_2007_2010","CROP Quebec Opinion Polls (2007-2010)","35-44",,"PQ",1
2007,"qes_crop_2007_2010","CROP Quebec Opinion Polls (2007-2010)","55-64",,"PQ",1
2007,"qes_crop_2007_2010","CROP Quebec Opinion Polls (2007-2010)","65+",,"PQ",1
2007,"qes_crop_2007_2010","CROP Quebec Opinion Polls (2007-2010)","45-54",,"ADQ",0
2007,"qes_crop_2007_2010","CROP Quebec Opinion Polls (2007-2010)","35-44",,"PQ",1
2007,"qes_crop_2007_2010","CROP Quebec Opinion Polls (2007-2010)","18-24",,"ADQ",1
2007,"qes_crop_2007_2010","CROP Quebec Opinion Polls (2007-2010)","18-24",,"PLQ",0
2007,"qes_crop_2007_2010","CROP Quebec Opinion Polls (2007-2010)","65+",,"PLQ",0
2007,"qes_crop_2007_2010","CROP Quebec Opinion Polls (2007-2010)","25-34",,"PLQ",0
2007,"qes_crop_2007_2010","CROP Quebec Opinion Polls (2007-2010)","35-44",,"PLQ",0
2007,"qes_crop_2007_2010","CROP Quebec Opinion Polls (2007-2010)","65+",,"PLQ",0
2007,"qes_crop_2007_2010","CROP Quebec Opinion Polls (2007-2010)","35-44",,"ADQ",0
2007,"qes_crop_2007_2010","CROP Quebec Opinion Polls (2007-2010)","65+",,"PLQ",0
2007,"qes_crop_2007_2010","CROP Quebec Opinion Polls (2007-2010)","55-64",,"PLQ",0
2007,"qes_crop_2007_2010","CROP Quebec Opinion Polls (2007-2010)","45-54",,"PQ",1
2007,"qes_crop_2007_2010","CROP Quebec Opinion Polls (2007-2010)","25-34",,"ADQ",0
2007,"qes_crop_2007_2010","CROP Quebec Opinion Polls (2007-2010)","25-34",,"Did not vote / None",1
2007,"qes_crop_2007_2010","CROP Quebec Opinion Polls (2007-2010)","65+",,"PQ",1
2007,"qes_crop_2007_2010","CROP Quebec Opinion Polls (2007-2010)","65+",,"Don't know / Refused",0
2007,"qes_crop_2007_2010","CROP Quebec Opinion Polls (2007-2010)","18-24",,"PVQ",0
2007,"qes_crop_2007_2010","CROP Quebec Opinion Polls (2007-2010)","45-54",,"PLQ",0
2007,"qes_crop_2007_2010","CROP Quebec Opinion Polls (2007-2010)","25-34",,"Did not vote / None",0
2007,"qes_crop_2007_2010","CROP Quebec Opinion Polls (2007-2010)","45-54",,"Don't know / Refused",0
2007,"qes_crop_2007_2010","CROP Quebec Opinion Polls (2007-2010)","65+",,"PVQ",1
2007,"qes_crop_2007_2010","CROP Quebec Opinion Polls (2007-2010)","25-34",,"PVQ",0
2007,"qes_crop_2007_2010","CROP Quebec Opinion Polls (2007-2010)","45-54",,"Don't know / Refused",
2007,"qes_crop_2007_2010","CROP Quebec Opinion Polls (2007-2010)","65+",,"PLQ",0
2007,"qes_crop_2007_2010","CROP Quebec Opinion Polls (2007-2010)","35-44",,"PLQ",0
2007,"qes_crop_2007_2010","CROP Quebec Opinion Polls (2007-2010)","35-44",,"ADQ",0
2007,"qes_crop_2007_2010","CROP Quebec Opinion Polls (2007-2010)","25-34",,"PLQ",0
2007,"qes_crop_2007_2010","CROP Quebec Opinion Polls (2007-2010)","55-64",,"ADQ",0
2007,"qes_crop_2007_2010","CROP Quebec Opinion Polls (2007-2010)","18-24",,"PLQ",0
2007,"qes_crop_2007_2010","CROP Quebec Opinion Polls (2007-2010)","25-34",,"QS",1
2007,"qes_crop_2007_2010","CROP Quebec Opinion Polls (2007-2010)","45-54",,"Don't know / Refused",1
2007,"qes_crop_2007_2010","CROP Quebec Opinion Polls (2007-2010)","45-54",,"Don't know / Refused",0
2007,"qes_crop_2007_2010","CROP Quebec Opinion Polls (2007-2010)","35-44",,"Don't know / Refused",1
2007,"qes_crop_2007_2010","CROP Quebec Opinion Polls (2007-2010)","35-44",,"PLQ",0
2007,"qes_crop_2007_2010","CROP Quebec Opinion Polls (2007-2010)","45-54",,"PQ",1
2007,"qes_crop_2007_2010","CROP Quebec Opinion Polls (2007-2010)","65+",,"PQ",1
2007,"qes_crop_2007_2010","CROP Quebec Opinion Polls (2007-2010)","25-34",,"ADQ",0
2007,"qes_crop_2007_2010","CROP Quebec Opinion Polls (2007-2010)","25-34",,"PLQ",0
2007,"qes_crop_2007_2010","CROP Quebec Opinion Polls (2007-2010)","65+",,"Don't know / Refused",1
2007,"qes_crop_2007_2010","CROP Quebec Opinion Polls (2007-2010)","35-44",,"PLQ",0
2007,"qes_crop_2007_2010","CROP Quebec Opinion Polls (2007-2010)","55-64",,"ADQ",0
2007,"qes_crop_2007_2010","CROP Quebec Opinion Polls (2007-2010)","45-54",,"ADQ",0
2007,"qes_crop_2007_2010","CROP Quebec Opinion Polls (2007-2010)","25-34",,"PLQ",0
2007,"qes_crop_2007_2010","CROP Quebec Opinion Polls (2007-2010)","45-54",,"PQ",1
2007,"qes_crop_2007_2010","CROP Quebec Opinion Polls (2007-2010)","45-54",,"PQ",1
2007,"qes_crop_2007_2010","CROP Quebec Opinion Polls (2007-2010)","45-54",,"ADQ",0
2007,"qes_crop_2007_2010","CROP Quebec Opinion Polls (2007-2010)","25-34",,"PVQ",0
2007,"qes_crop_2007_2010","CROP Quebec Opinion Polls (2007-2010)","55-64",,"PQ",1
2007,"qes_crop_2007_2010","CROP Quebec Opinion Polls (2007-2010)","55-64",,"PQ",1
2007,"qes_crop_2007_2010","CROP Quebec Opinion Polls (2007-2010)","45-54",,"Don't know / Refused",0
2007,"qes_crop_2007_2010","CROP Quebec Opinion Polls (2007-2010)","55-64",,"Don't know / Refused",0
2007,"qes_crop_2007_2010","CROP Quebec Opinion Polls (2007-2010)","45-54",,"Don't know / Refused",1
2007,"qes_crop_2007_2010","CROP Quebec Opinion Polls (2007-2010)","55-64",,"ADQ",0
2007,"qes_crop_2007_2010","CROP Quebec Opinion Polls (2007-2010)","65+",,"ADQ",1
2007,"qes_crop_2007_2010","CROP Quebec Opinion Polls (2007-2010)","18-24",,"Don't know / Refused",1
2007,"qes_crop_2007_2010","CROP Quebec Opinion Polls (2007-2010)","65+",,"PLQ",0
2007,"qes_crop_2007_2010","CROP Quebec Opinion Polls (2007-2010)","65+",,"PLQ",0
2007,"qes2007","Quebec Election Study 2007","55-64",1,"PQ",1
2007,"qes2007","Quebec Election Study 2007","55-64",1,"ADQ",0
2007,"qes2007","Quebec Election Study 2007","25-34",1,"ADQ",
2007,"qes2007","Quebec Election Study 2007","35-44",1,"PQ",1
2007,"qes2007","Quebec Election Study 2007","55-64",1,"PLQ",0
2007,"qes2007","Quebec Election Study 2007","45-54",1,"Don't know / Refused",0
2007,"qes2007","Quebec Election Study 2007","55-64",1,"PQ",1
2007,"qes2007","Quebec Election Study 2007","45-54",1,"Don't know / Refused",
2007,"qes2007","Quebec Election Study 2007","65+",1,"PLQ",0
2007,"qes2007","Quebec Election Study 2007","55-64",1,"PLQ",0
2007,"qes2007","Quebec Election Study 2007","65+",1,"PLQ",0
2007,"qes2007","Quebec Election Study 2007","18-24",1,"PLQ",
2007,"qes2007","Quebec Election Study 2007","45-54",1,"ADQ",0
